variable,group,name,model,url,scenario,unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Prices|Agriculture|Ruminant meat,3,Prices for Ruminant meat,WBGEM,https://datacatalog.worldbank.org/dataset/global-economic-monitor,historical,US$05/tDM,4145.5762,3765.103,3870.5204,3678.9281,4578.5113,4754.5635,5317.4924,5368.0073,5644.4339,6037.2214,6053.5478,9455.6326,10309.6519,11867.281,8604.1933,7228.9395,8013.1002,7554.227,8781.3325,9548.2388,9315.7626,8601.6197,8106.3681,7636.0477,7492.2664,7218.4792,6663.0605,6514.2271,6627.519,6616.3586,6802.9033,6569.6661,6593.034,6895.8416,6830.465,5307.4758,6070.0071,6581.9463,5869.0042,5953.7963,6162.6985,7092.9536,7699.3388,7934.9345,9011.622,8667.5953,7887.6024,7590.1206,8091.8812,7721.5753,9336.9205,10361.837,10006.22,9080.0255,11308.5172,10643.9562,9909.425,
Prices|Agriculture|Fish,3,Prices for Fish,WBGEM,https://datacatalog.worldbank.org/dataset/global-economic-monitor,historical,US$05/tDM,,,,,,,,,,,,,,,,,,,,,2547.6127,2358.3446,1835.0382,2417.374,2038.0395,1545.7871,1538.3058,1678.9016,2238.5881,1689.4924,1642.3251,1921.6524,1900.8691,1391.9298,1480.603,1773.9509,2140.8625,2324.306,2653.5771,1604.3445,1710.0307,2093.5365,2637.3165,2526.7911,2512.8135,2745.4795,4272.5117,4063.7938,3629.7116,4201.2954,5558.9194,4563.5112,4658.6389,5245.498,5211.1103,5256.4936,5275.0132,
Household Expenditure|Food|Expenditure Share|Crops,4,Household Expenditure Share for Crops,Based on FAO,https://github.com/pik-piam/mrvalidation,,USD/USD,,,,,,0.0452,,,,,0.0403,,,,,0.0372,,,,,0.0343,,,,,0.0351,,,,,0.0334,,,,,0.0355,,,,,0.037,,,,,0.0349,,,,,0.0335,,,,,,,
Household Expenditure|Food|Expenditure Share|Livestock products,4,Household Expenditure Share for Livestock Products,Based on FAO,https://github.com/pik-piam/mrvalidation,,USD/USD,,,,,,0.0286,,,,,0.0261,,,,,0.0242,,,,,0.0231,,,,,0.0228,,,,,0.0213,,,,,0.021,,,,,0.0195,,,,,0.018,,,,,0.0171,,,,,,,
Resources|Land Cover|+|Cropland,5,Cropland,Based on LUH2 and FAO,,historical,million ha,,,,,,1376.0732,,,,,1404.4318,,,,,1419.3558,,,,,1434.2798,,,,,1465.433,,,,,1496.5861,,,,,1492.7762,,,,,1488.9662,,,,,1505.6462,,,,,1510.1333,,,,,,,
Resources|Land Cover|+|Pastures and Rangelands,5,Pastures and Rangelands,Based on LUH2 and FAO,,historical,million ha,,,,,,3003.814,,,,,3025.32,,,,,3067.5727,,,,,3109.8254,,,,,3175.7483,,,,,3241.6712,,,,,3267.4162,,,,,3293.1613,,,,,3270.8948,,,,,3280.8225,,,,,,,
Resources|Land Cover|Forest|+|Natural Forest,5,Natural Forest,Based on LUH2 and FAO,,historical,million ha,,,,,,3893.92,,,,,3893.5254,,,,,3893.2829,,,,,3891.4228,,,,,3890.5011,,,,,3889.2651,,,,,3853.4992,,,,,3813.4881,,,,,3762.1715,,,,,3720.6885,,,,,,,
Resources|Land Cover|Forest|+|Managed Forest,5,Managed Forest,Based on LUH2 and FAO,,historical,million ha,,,,,,191.735,,,,,191.7371,,,,,191.7355,,,,,191.6688,,,,,191.7119,,,,,191.7012,,,,,208.5342,,,,,225.1903,,,,,253.4355,,,,,276.8733,,,,,,,
Resources|Land Cover|+|Other Land,5,Other Land,Based on LUH2 and FAO,,historical,million ha,,,,,,4316.5628,,,,,4264.7298,,,,,4205.5738,,,,,4148.1005,,,,,4048.949,,,,,3950.1658,,,,,3943.6189,,,,,3941.4941,,,,,3966.2478,,,,,3965.5871,,,,,,,
Resources|Land Cover|+|Urban Area,5,Urban Area,Based on LUH2 and FAO,,historical,million ha,,,,,,23.025,,,,,25.3859,,,,,27.6094,,,,,29.8329,,,,,32.7868,,,,,35.7407,,,,,39.2854,,,,,42.8301,,,,,46.7343,,,,,51.0254,,,,,,,
Productivity|Yield|+|Crops,6,Crop Yield,FAOSTAT,http://www.fao.org/faostat/en/,historical,t DM/ha,,,,,,1.1295,,,,,1.2976,,,,,1.441,,,,,1.6021,,,,,1.9734,,,,,2.1054,,,,,2.1291,,,,,2.3325,,,,,2.5355,,,,,2.8647,,,,,,,
Productivity|Yield|+|Pasture,6,Pasture Yield,FAOSTAT,http://www.fao.org/faostat/en/,historical,t DM/ha,,,,,,1.1313,,,,,1.1595,,,,,1.1864,,,,,1.1934,,,,,1.1842,,,,,1.1856,,,,,1.2231,,,,,1.2989,,,,,1.4181,,,,,1.498,,,,,,,
Productivity|Yield|+|Forage,6,Forage Yield,FAOSTAT,http://www.fao.org/faostat/en/,historical,t DM/ha,,,,,,1.5495,,,,,1.7917,,,,,2.0949,,,,,2.5111,,,,,4.0543,,,,,3.6545,,,,,2.9789,,,,,3.1667,,,,,3.4597,,,,,3.2336,,,,,,,
Resources|Land Cover|Cropland|Area actually irrigated,7,Irrigated Cropland,LUH2,https://luh.umd.edu/,historical,million ha,,,,,,109.9555,,,,,116.7646,,,,,127.5019,,,,,138.2392,,,,,149.4157,,,,,160.5922,,,,,170.4036,,,,,180.215,,,,,194.0718,,,,,200.1833,,,,,,,
Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer,7,Nitrogen Input from Fertilization,Lassaletta2014,https://iopscience.iop.org/article/10.1088/1748-9326/9/10/105011/meta,historical,Mt Nr/yr,,11.5787,13.0695,14.6254,16.2631,18.782,21.7453,23.6368,25.5539,27.6374,30.7314,32.3273,34.7635,37.5939,36.6591,42.3147,42.9645,46.5465,51.3589,54.0492,57.3137,56.8422,57.3144,62.74,66.1624,65.4268,67.1597,70.2739,73.639,72.8962,71.428,69.9916,68.2491,66.911,66.8122,72.3758,76.2888,74.8747,76.2145,78.05,74.4934,75.6724,80.9021,83.3488,82.4853,84.0139,88.1497,92.2139,91.5045,97.1719,,,,,,,,
Emissions|CH4|Land|+|Agriculture,8,AFOLU CH₄ Emissions,PRIMAPhist,https://doi.org/10.5880/PIK.2017.001,historical,Mt CH4/yr,100.5465,101.6016,103.4292,104.5296,106.3146,107.8329,109.9442,111.81729999999999,113.3224,113.9918,118.0886,113.64869999999999,120.8235,119.7656,118.5252,121.6785,124.1816,127.9541,126.1455,129.6902,131.7334,129.8115,145.48919999999998,137.1701,129.3382,129.7873,134.3708,142.577,132.053,134.18619999999999,136.0457,136.3505,135.9977,135.49699999999999,136.5292,138.9088,138.7442,139.6808,141.532,140.6549,140.1798,139.2687,145.566,145.9838,151.613,152.838,154.49110000000002,151.28279999999998,151.16140000000001,152.6116,150.25300000000001,150.5124,150.5684,149.7753,152.68099999999998,155.1078,,
Emissions|CO2|Land|+|Agriculture,8,AFOLU CO₂ Emissions,PRIMAPhist,https://doi.org/10.5880/PIK.2017.001,historical,Mt CO2/yr,5116.5176,5394.4726,5388.7282000000005,5442.6123,5492.7639,5551.7031,5683.7929,5711.6451,5454.562400000001,5476.1788,5321.2638,4783.8378,4686.903499999999,4634.6964,4646.9503,4620.9999,4866.9172,4880.345799999999,4878.2535,4777.4114,4618.2762,4706.4613,5443.0325,5619.6055,5800.582600000001,5890.092100000001,5955.6513,6000.584699999999,6096.3674,6129.6457,6122.9849,5779.6157,5384.79,5341.1930999999995,5293.6248,5230.3559,5115.834699999999,4995.4959,4962.1473,4805.530199999999,4649.9504,4177.9526,4686.7098,4746.3444,4775.419800000001,4502.479899999999,3084.9505,2804.4365,2872.9402999999998,3010.8041999999996,2737.7562000000003,2738.2513,2785.9003000000002,2770.1037,2864.7358,2797.1122,,
Emissions|N2O|Land|+|Agriculture,8,AFOLU N₂O Emissions,PRIMAPhist,https://doi.org/10.5880/PIK.2017.001,historical,Mt N2O/yr,3.7306,3.9608,4.0683,4.1588,4.2556,4.3952,4.5633,4.6979,4.7959,4.8697,5.0932,5.023199999999999,5.276300000000001,5.3572999999999995,5.2971,5.5246,5.642099999999999,5.7566,5.8819,6.0549,6.2036,6.1529,6.377800000000001,6.4611,6.3697,6.3792,6.5084,6.7656,6.6036,6.6882,6.3036,6.2495,6.1949000000000005,6.1175999999999995,6.2535,6.4385,6.5039,6.5017,6.7055,6.599900000000001,6.558000000000001,6.5773,6.6281,6.8154,7.0604000000000005,6.9865,7.1386,7.2838,7.403600000000001,7.4842,7.6381,7.6985,7.7721,7.7683,7.8628,8.053899999999999,,
