Model,Scenario,Region,Variable,Unit,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150,Column263
FAO,historical,World,Demand|Food|+|Crops,Mt DM/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.468,,,,,721.2096,,,,,792.5327,,,,,875.3519,,,,,993.9918,,,,,1093.4128,,,,,1207.2278,,,,,1324.5695,,,,,1407.1408,,,,,1534.8004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAO,historical,World,Demand|Food|+|Fish,Mt DM/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7945,,,,,10.6076,,,,,12.5602,,,,,13.5042,,,,,16.1763,,,,,18.9818,,,,,22.8542,,,,,25.7107,,,,,29.2057,,,,,34.2693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAO,historical,World,Demand|Food|+|Livestock products,Mt DM/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.5095,,,,,87.8,,,,,98.9156,,,,,114.1826,,,,,128.7794,,,,,143.7471,,,,,159.9886,,,,,179.873,,,,,199.8811,,,,,227.0047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAO,historical,World,Demand|Food|+|Secondary products,Mt DM/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.7828,,,,,113.9759,,,,,129.1749,,,,,157.9305,,,,,180.4854,,,,,200.348,,,,,214.7465,,,,,235.1873,,,,,251.2952,,,,,268.1756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAgPIEown,historical,World,Resources|Land Cover|+|Cropland,million ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1376.0732,,,,,1404.4318,,,,,1419.3558,,,,,1434.2798,,,,,1465.433,,,,,1496.5861,,,,,1492.7762,,,,,1488.9662,,,,,1505.6462,,,,,1510.1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAgPIEown,historical,World,Resources|Land Cover|+|Other Land,million ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4316.5628,,,,,4264.7298,,,,,4205.5738,,,,,4148.1005,,,,,4048.949,,,,,3950.1658,,,,,3943.6189,,,,,3941.4941,,,,,3966.2478,,,,,3965.5871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAgPIEown,historical,World,Resources|Land Cover|+|Pastures and Rangelands,million ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3003.814,,,,,3025.32,,,,,3067.5727,,,,,3109.8254,,,,,3175.7483,,,,,3241.6712,,,,,3267.4162,,,,,3293.1613,,,,,3270.8948,,,,,3280.8225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAgPIEown,historical,World,Resources|Land Cover|+|Urban Area,million ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.025,,,,,25.3859,,,,,27.6094,,,,,29.8329,,,,,32.7868,,,,,35.7407,,,,,39.2854,,,,,42.8301,,,,,46.7343,,,,,51.0254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAgPIEown,historical,World,Resources|Land Cover|Forest|+|Managed Forest,million ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.735,,,,,191.7371,,,,,191.7355,,,,,191.6688,,,,,191.7119,,,,,191.7012,,,,,208.5342,,,,,225.1903,,,,,253.4355,,,,,276.8733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAgPIEown,historical,World,Resources|Land Cover|Forest|+|Natural Forest,million ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3893.92,,,,,3893.5254,,,,,3893.2829,,,,,3891.4228,,,,,3890.5011,,,,,3889.2651,,,,,3853.4992,,,,,3813.4881,,,,,3762.1715,,,,,3720.6885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUH2v2,historical,World,Resources|Land Cover|Cropland|Area actually irrigated,million ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.9555,,,,,116.7646,,,,,127.5019,,,,,138.2392,,,,,149.4157,,,,,160.5922,,,,,170.4036,,,,,180.215,,,,,194.0718,,,,,200.1833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassaletta2014,historical,World,Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer,Mt Nr/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5787,13.0695,14.6254,16.2631,18.782,21.7453,23.6368,25.5539,27.6374,30.7314,32.3273,34.7635,37.5939,36.6591,42.3147,42.9645,46.5465,51.3589,54.0492,57.3137,56.8422,57.3144,62.74,66.1624,65.4268,67.1597,70.2739,73.639,72.8962,71.428,69.9916,68.2491,66.911,66.8122,72.3758,76.2888,74.8747,76.2145,78.05,74.4934,75.6724,80.9021,83.3488,82.4853,84.0139,88.1497,92.2139,91.5045,97.1719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIMAPhist,historical,World,Emissions|CH4|Land|+|Agriculture,Mt CH4/yr,18.4588,19.0891,19.7443,20.3774,21.0194,21.6622,22.3074,22.943,23.5825,24.2264,24.8676,25.5032,26.1453,26.7738,27.4131,28.0393,28.6691,29.2914,29.9115,30.5211,31.1409,31.7398,32.3477,32.954,33.5382,34.1289,34.7122,35.2822,35.8456,36.419,36.9752,37.5214,38.0468,38.5906,39.1256,39.6296,40.1404,40.6286,41.127,41.5984,41.3882,42.0448,42.6785,43.2958,43.8844,44.4262,44.9331,45.354,45.7378,46.0409,46.2509,46.4189,46.5626,46.659,46.8084,46.9416,47.0819,47.2257,47.3978,47.6057,47.838,48.2323,48.8421,49.6609,50.5795,51.585,52.6316,53.6662,54.6235,55.4644,56.15,56.7803,57.4524,58.2257,58.9805,59.7314,60.4513,61.1175,61.7213,62.1608,62.474,62.6686,62.8023,62.908,62.9806,63.0114,63.0522,63.1037,63.2092,63.3757,63.5863,64.0428,64.8836,65.9713,67.3049,68.7064,70.1803,71.5974,72.95,74.0487,74.9106,75.8179,77.1899,78.9133,80.813,82.8223,84.9231,86.9312,88.781,90.2728,91.4647,92.3438,94.0154,94.941,96.5624,97.9326,99.8714,101.6017,102.9485,103.4695,104.1745,106.0503,107.0589,108.9736,110.9495,112.7481,113.2227,113.8343,114.068,114.3288,116.0188,116.9254,117.3248,118.0128,118.9276,119.2182,120.0196,119.6966,120.9211,122.6604,122.8952,123.2201,122.8496,122.455,122.9162,123.8734,123.7296,123.704,124.0432,124.919,125.1614,126.0961,127.001,129.1157,131.4462,134.7113,134.9737,136.0074,136.7604,136.5113,136.6655,136.238,136.5985,137.2328,138.2609,141.3693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIMAPhist,historical,World,Emissions|CH4|Land|+|Land-use Change,Mt CH4/yr,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8127,8.8131,8.8147,8.8166,8.8191,8.8188,8.8146,8.8082,8.782,8.743,8.6957,8.6301,8.5231,8.3876,8.2415,8.0727,7.9224,7.7813,7.6511,7.5514,7.4842,7.466,7.4394,7.4176,7.3984,7.3931,7.3901,7.3848,7.3822,7.3811,7.38,7.376,7.3462,7.3177,7.2862,7.2508,7.2023,7.167,7.121,7.0753,7.0454,7.0186,6.988,6.9472,6.9279,6.9018,6.8619,6.8456,6.8133,6.8017,6.7964,6.8419,6.9732,7.1679,7.4191,7.7126,8.0162,8.3292,8.6108,8.8729,9.0818,9.2578,9.4138,9.5886,9.7522,9.9003,10.0728,10.2156,10.3739,10.5223,13.9141,7.5984,13.7646,10.792,7.5757,8.9304,10.9589,14.1198,12.0775,15.3614,15.7146,12.8861,28.1644,19.1573,10.4106,10.5691,14.3512,22.8804,11.1319,11.5258,13.1505,13.1304,13.1481,13.042,13.613,15.0354,15.0146,15.9768,17.4888,15.7359,15.0184,13.1726,18.565,16.8681,20.1668,18.1267,19.5174,15.2754,14.401,16.1003,13.5875,14.2744,13.9699,12.5425,14.4201,13.7385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIMAPhist,historical,World,Emissions|CO2|Land|+|Agriculture,Mt CO2/yr,0.3264,0.3387,0.3617,0.3841,0.443,0.4693,0.5039,0.5173,0.5376,0.5564,0.603,0.644,0.681,0.7398,0.8067,0.8686,0.899,0.9752,1.0324,1.0983,1.1299,1.2246,1.3532,1.4435,1.3794,1.5004,1.6211,1.6396,1.6765,1.8035,2.0011,2.0644,2.1782,2.3339,2.389,2.4395,2.4964,2.6123,2.8779,2.9469,3.1937,3.3642,3.3814,3.4332,3.5178,3.7434,3.8926,4.112,4.3546,4.6933,4.9407,5.1269,5.1822,5.5719,5.6782,5.992,6.2921,7.0989,7.043,7.2639,7.4838,7.6663,8.15,8.7591,7.9021,7.759,8.3777,8.7218,8.2478,6.5776,8.163,7.6386,7.8126,8.2979,8.5886,8.6081,8.5927,9.3158,9.3519,10.1623,9.4197,8.6567,7.8925,8.3045,9.0536,9.601,10.4869,11.3736,11.2576,11.8694,13.8176,13.8069,13.563,14.3694,13.9834,10.3744,11.8689,12.9849,13.819,14.0882,15.3734,16.6131,17.3539,17.949,18.7228,20.579,21.9806,23.2786,24.5068,25.8168,27.3255,27.7615,29.1373,30.9897,32.7483,34.2264,35.9629,36.8411,39.0865,41.4816,43.6275,45.5881,48.1289,49.7602,50.6812,53.9527,56.8205,60.556,63.4087,67.9166,70.6937,71.9175,73.759,76.9756,81.0649,82.9341,84.9951,86.9872,90.6431,91.9576,93.7861,89.2201,87.7514,81.9774,81.2228,88.1241,90.3879,91.4001,93.1383,95.4463,95.1357,95.6901,100.5013,101.654,105.7025,105.749,105.7461,107.0033,107.4154,112.1521,115.4499,115.7568,120.3256,121.0308,123.1811,125.9658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
